  ZR    Vel     logg logTeff  y1(CHEOPS)    
  ZR    Vel     logg logTeff  y2(CHEOPS)  
  0.00  0.000   3.50  4.362   -0.0361
  0.00  0.000   3.50  4.380    0.4675
  0.00  0.000   3.50  4.380   -0.0397
  0.00  0.000   3.50  4.398    0.4800
  0.00  0.000   3.50  4.398   -0.0447
  0.00  0.000   3.50  4.415    0.5006
  0.00  0.000   3.50  4.415   -0.0503
  0.00  0.000   3.50  4.431    0.5236
  0.00  0.000   3.50  4.431   -0.0517
  0.00  0.000   3.50  4.447    0.5344
  0.00  0.000   3.50  4.447   -0.0581
  0.00  0.000   3.50  4.462    0.5219
  0.00  0.000   3.50  4.462   -0.0600
  0.00  0.000   3.50  4.477    0.4857
  0.00  0.000   3.50  4.477   -0.0559
  0.00  0.000   3.50  4.491    0.4387
  0.00  0.000   3.50  4.491   -0.0460
  0.00  0.000   4.00  3.544    1.9473
  0.00  0.000   4.00  3.544    0.0649
  0.00  0.000   4.00  3.574    1.9113
  0.00  0.000   4.00  3.574    0.0245
  0.00  0.000   4.00  3.602    1.8023
  0.00  0.000   4.00  3.602   -0.0109
  0.00  0.000   4.00  3.628    1.5955
  0.00  0.000   4.00  3.628   -0.0089
  0.00  0.000   4.00  3.653    1.4137
  0.00  0.000   4.00  3.653   -0.0032
  0.00  0.000   4.00  3.677    1.2980
  0.00  0.000   4.00  3.677   -0.0012
  0.00  0.000   4.00  3.699    1.2075
  0.00  0.000   4.00  3.699    0.0003
  0.00  0.000   4.00  3.720    1.1320
  0.00  0.000   4.00  3.720    0.0010
  0.00  0.000   4.00  3.740    1.0702
  0.00  0.000   4.00  3.740    0.0008
  0.00  0.000   4.00  3.760    1.0251
  0.00  0.000   4.00  3.760    0.0001
  0.00  0.000   4.00  3.778    0.9955
  0.00  0.000   4.00  3.778   -0.0013
  0.00  0.000   4.00  3.796    0.9756
  0.00  0.000   4.00  3.796   -0.0035
  0.00  0.000   4.00  3.813    0.9608
  0.00  0.000   4.00  3.813   -0.0062
  0.00  0.000   4.00  3.829    0.9516
  0.00  0.000   4.00  3.829   -0.0091
  0.00  0.000   4.00  3.845    0.9453
  0.00  0.000   4.00  3.845   -0.0116
  0.00  0.000   4.00  3.860    0.9362
  0.00  0.000   4.00  3.860   -0.0147
  0.00  0.000   4.00  3.875    0.9450
  0.00  0.000   4.00  3.875   -0.0216
  0.00  0.000   4.00  3.889    0.9640
  0.00  0.000   4.00  3.889   -0.0266
  0.00  0.000   4.00  3.903    0.9363
  0.00  0.000   4.00  3.903   -0.0281
  0.00  0.000   4.00  3.916    0.8431
  0.00  0.000   4.00  3.916   -0.0223
  0.00  0.000   4.00  3.929    0.7380
  0.00  0.000   4.00  3.929   -0.0147
  0.00  0.000   4.00  3.942    0.6613
  0.00  0.000   4.00  3.942   -0.0096
  0.00  0.000   4.00  3.954    0.6091
  0.00  0.000   4.00  3.954   -0.0069
  0.00  0.000   4.00  3.966    0.5725
  0.00  0.000   4.00  3.966   -0.0055
  0.00  0.000   4.00  3.978    0.5448
  0.00  0.000   4.00  3.978   -0.0047
  0.00  0.000   4.00  3.989    0.5249
  0.00  0.000   4.00  3.989   -0.0042
  0.00  0.000   4.00  4.000    0.5099
  0.00  0.000   4.00  4.000   -0.0040
  0.00  0.000   4.00  4.011    0.4963
  0.00  0.000   4.00  4.011   -0.0040
  0.00  0.000   4.00  4.021    0.4857
  0.00  0.000   4.00  4.021   -0.0041
  0.00  0.000   4.00  4.031    0.4767
  0.00  0.000   4.00  4.031   -0.0043
  0.00  0.000   4.00  4.041    0.4694
  0.00  0.000   4.00  4.041   -0.0045
  0.00  0.000   4.00  4.051    0.4618
  0.00  0.000   4.00  4.051   -0.0047
  0.00  0.000   4.00  4.061    0.4555
  0.00  0.000   4.00  4.061   -0.0049
  0.00  0.000   4.00  4.070    0.4489
  0.00  0.000   4.00  4.070   -0.0051
  0.00  0.000   4.00  4.079    0.4431
  0.00  0.000   4.00  4.079   -0.0051
  0.00  0.000   4.00  4.088    0.4367
  0.00  0.000   4.00  4.088   -0.0052
  0.00  0.000   4.00  4.097    0.4311
  0.00  0.000   4.00  4.097   -0.0053
  0.00  0.000   4.00  4.106    0.4257
  0.00  0.000   4.00  4.106   -0.0053
