  logg    Teff     ZR    y1(CHEOPS)    
  logg    Teff     ZR    y2(CHEOPS)    
  4.50    2500.   0.0000   0.0338
  4.50    2600.   0.0000   2.0435
  4.50    2600.   0.0000   0.0091
  4.50    2700.   0.0000   2.0867
  4.50    2700.   0.0000   0.0085
  4.50    2900.   0.0000   2.0367
  4.50    2900.   0.0000   0.0114
  4.50    3100.   0.0000   1.9691
  4.50    3100.   0.0000   0.0272
  4.50    3200.   0.0000   1.8885
  4.50    3200.   0.0000   0.0322
  4.50    3300.   0.0000   1.8312
  4.50    3300.   0.0000   0.0381
  4.50    3400.   0.0000   1.7895
  4.50    3400.   0.0000   0.0371
  4.50    3500.   0.0000   1.7633
  4.50    3500.   0.0000   0.0330
  4.50    3600.   0.0000   1.7274
  4.50    3600.   0.0000   0.0274
  4.50    3700.   0.0000   1.6818
  4.50    3700.   0.0000   0.0202
  4.50    3800.   0.0000   1.6541
  4.50    3800.   0.0000   0.0119
  4.50    3900.   0.0000   1.6443
  4.50    3900.   0.0000   0.0030
  4.50    4000.   0.0000   1.6699
  4.50    4000.   0.0000  -0.0070
  4.50    4100.   0.0000   1.6831
  4.50    4100.   0.0000  -0.0151
  4.50    4200.   0.0000   1.6667
  4.50    4200.   0.0000  -0.0201
  4.50    4300.   0.0000   1.6552
  4.50    4300.   0.0000  -0.0187
  4.50    4400.   0.0000   1.5927
  4.50    4400.   0.0000  -0.0174
  4.50    4500.   0.0000   1.5156
  4.50    4500.   0.0000  -0.0142
  4.50    4600.   0.0000   1.4723
  4.50    4600.   0.0000  -0.0107
  4.50    4700.   0.0000   1.4164
  4.50    4700.   0.0000  -0.0091
  4.50    4800.   0.0000   1.3772
  4.50    4800.   0.0000  -0.0065
  4.50    4900.   0.0000   1.2929
  4.50    4900.   0.0000  -0.0056
  4.50    5100.   0.0000   1.2542
  4.50    5100.   0.0000  -0.0043
  4.50    5200.   0.0000   1.2499
  4.50    5200.   0.0000  -0.0047
  4.50    5300.   0.0000   1.2089
  4.50    5300.   0.0000  -0.0034
  4.50    5400.   0.0000   1.1671
  4.50    5400.   0.0000  -0.0034
  4.50    5500.   0.0000   1.1634
  4.50    5500.   0.0000  -0.0041
  4.50    5600.   0.0000   1.1648
  4.50    5600.   0.0000  -0.0081
  4.50    5700.   0.0000   1.0888
  4.50    5700.   0.0000  -0.0086
  4.50    5800.   0.0000   0.9702
  4.50    5800.   0.0000  -0.0098
  4.50    5900.   0.0000   1.0844
  4.50    5900.   0.0000  -0.0109
  4.50    6000.   0.0000   1.1619
  4.50    6000.   0.0000  -0.0123
  4.50    6100.   0.0000   1.0650
  4.50    6100.   0.0000  -0.0155
  4.50    6200.   0.0000   1.0138
  4.50    6200.   0.0000  -0.0172
  4.50    6300.   0.0000   1.0402
  4.50    6300.   0.0000  -0.0161
  4.50    6400.   0.0000   1.0393
  4.50    6400.   0.0000  -0.0169
  4.50    6500.   0.0000   1.0102
  4.50    6500.   0.0000  -0.0185
  4.50    6600.   0.0000   1.0334
  4.50    6600.   0.0000  -0.0192
  4.50    6700.   0.0000   0.9975
  4.50    6700.   0.0000  -0.0195
  4.50    6800.   0.0000   0.9804
  4.50    6800.   0.0000  -0.0202
  4.50    6900.   0.0000   0.9656
  4.50    6900.   0.0000  -0.0207
  4.50    7000.   0.0000   0.9629
  4.50    7000.   0.0000  -0.0209
  4.50    7200.   0.0000   0.8781
  4.50    7200.   0.0000  -0.0239
  4.50    7400.   0.0000   0.9465
  4.50    7400.   0.0000  -0.0234
  4.50    7600.   0.0000   1.0085
  4.50    7600.   0.0000  -0.0131
  4.50    7800.   0.0000   0.8970
  4.50    7800.   0.0000  -0.0219
  4.50    8000.   0.0000   0.8644
  4.50    8000.   0.0000  -0.0230
  4.50    8200.   0.0000   0.8387
  4.50    8200.   0.0000  -0.0230
  4.50    8400.   0.0000   0.8110
  4.50    8400.   0.0000  -0.0229
  4.50    8600.   0.0000   0.7454
  4.50    8600.   0.0000  -0.0170
  4.50    8800.   0.0000   0.6772
  4.50    8800.   0.0000  -0.0148
  4.50    9000.   0.0000   0.6501
  4.50    9000.   0.0000  -0.0131
  4.50    9200.   0.0000   0.6379
  4.50    9200.   0.0000  -0.0124
  4.50    9400.   0.0000   0.6348
  4.50    9400.   0.0000  -0.0126
  4.50    9600.   0.0000   0.5995
  4.50    9600.   0.0000  -0.0122
  4.50    9800.   0.0000   0.5685
  4.50    9800.   0.0000  -0.0118
  4.50   10000.   0.0000   0.5768
  4.50   10000.   0.0000  -0.0117
  4.50   10200.   0.0000   0.5659
  4.50   10200.   0.0000  -0.0117
  4.50   10400.   0.0000   0.5569
  4.50   10400.   0.0000  -0.0117
  4.50   10600.   0.0000   0.5488
  4.50   10600.   0.0000  -0.0117
  4.50   10800.   0.0000   0.5411
  4.50   10800.   0.0000  -0.0118
  4.50   11000.   0.0000   0.5328
  4.50   11000.   0.0000  -0.0119
  4.50   11200.   0.0000   0.5251
  4.50   11200.   0.0000  -0.0120
  4.50   11400.   0.0000   0.5173
  4.50   11400.   0.0000  -0.0123
  4.50   11600.   0.0000   0.5095
  4.50   11600.   0.0000  -0.0128
  4.50   11800.   0.0000   0.5022
  4.50   11800.   0.0000  -0.0128
  4.50   12000.   0.0000   0.4944
  4.50   12000.   0.0000  -0.0127
  5.00    2300.   0.0000   1.6496
  5.00    2300.   0.0000   0.1357
  5.00    2400.   0.0000   0.8915
  5.00    2400.   0.0000   0.1600
  5.00    2500.   0.0000   1.1089
  5.00    2500.   0.0000   0.1003
  5.00    2600.   0.0000   1.8995
  5.00    2600.   0.0000   0.0279
  5.00    2700.   0.0000   2.0632
  5.00    2700.   0.0000   0.0082
  5.00    2900.   0.0000   2.0566
  5.00    2900.   0.0000  -0.0001
  5.00    3100.   0.0000   2.0198
  5.00    3100.   0.0000   0.0114
  5.00    3200.   0.0000   1.9326
  5.00    3200.   0.0000   0.0153
  5.00    3300.   0.0000   1.8518
  5.00    3300.   0.0000   0.0192
  5.00    3400.   0.0000   1.7679
  5.00    3400.   0.0000   0.0191
  5.00    3500.   0.0000   1.7267
  5.00    3500.   0.0000   0.0163
  5.00    3600.   0.0000   1.6836
  5.00    3600.   0.0000   0.0120
